Problem,,,Constructive Algorithm,,,Local Search,,Grasp,,Known Best Solution or Upper Bound
Name,|V|,|E|,Randomized-1,Greedy-1,Semi-Greedy-1,LS-iterations,LS-avg-value,GRASP-iterations,GRASP-best-value,Best Value
g1,800,19176,9585,10956,10938,10,11385,10,11465,N/A
g2,800,19176,9588,11030,11035,10,11364,10,11403,N/A
g3,800,19176,9588,11012,11014,10,11340,10,11376,N/A
g4,800,19176,9585,11031,11061,10,11364,10,11446,N/A
g5,800,19176,9586,10990,10986,10,11348,10,11436,N/A
g6,800,19176,77,1515,1490,10,1878,10,1934,N/A
g7,800,19176,-77,1362,1345,10,1722,10,1761,N/A
g8,800,19176,-85,1331,1275,10,1736,10,1858,N/A
g9,800,19176,-26,1507,1397,10,1775,10,1841,N/A
g10,800,19176,-80,1350,1353,10,1704,10,1768,N/A
g11,800,1600,17,434,480,10,481,10,500,N/A
g12,800,1600,-2,418,456,10,471,10,488,N/A
g13,800,1600,18,432,472,10,489,10,506,N/A
g14,800,4694,2347,2890,2896,10,2962,10,2984,N/A
g15,800,4661,2330,2873,2848,10,2940,10,2957,N/A
g16,800,4672,2333,2878,2865,10,2940,10,2952,N/A
g17,800,4667,2333,2864,2891,10,2948,10,2957,N/A
g18,800,4694,31,780,759,10,849,10,865,N/A
g19,800,4661,-58,681,721,10,776,10,790,N/A
g20,800,4672,-22,698,721,10,794,10,816,N/A
g21,800,4667,-34,704,723,10,789,10,805,N/A
g22,2000,19990,9995,12346,12319,10,12811,10,12880,N/A
g23,2000,19990,9997,12291,12251,10,12737,10,12793,N/A
g24,2000,19990,9995,12367,12373,10,12813,10,12876,N/A
g25,2000,19990,9994,12408,12392,10,12812,10,12867,N/A
g26,2000,19990,9996,12355,12349,10,12781,10,12833,N/A
g27,2000,19990,-19,2316,2344,10,2817,10,2877,N/A
g28,2000,19990,-52,2329,2280,10,2763,10,2798,N/A
g29,2000,19990,38,2367,2340,10,2823,10,2882,N/A
g30,2000,19990,49,2401,2419,10,2883,10,2927,N/A
g31,2000,19990,-36,2290,2343,10,2795,10,2841,N/A
g32,2000,4000,11,1058,1122,10,1185,10,1198,N/A
g33,2000,4000,-15,1000,1100,10,1175,10,1208,N/A
g34,2000,4000,-23,988,1112,10,1170,10,1186,N/A
g35,2000,11778,5889,7252,7254,10,7428,10,7452,N/A
g36,2000,11766,5882,7225,7264,10,7405,10,7419,N/A
g37,2000,11785,5891,7264,7252,10,7422,10,7441,N/A
g38,2000,11779,5891,7305,7272,10,7421,10,7438,N/A
g39,2000,11778,15,1861,1858,10,2091,10,2138,N/A
g40,2000,11766,-50,1834,1860,10,2048,10,2073,N/A
g41,2000,11785,-10,1876,1862,10,2055,10,2099,N/A
g42,2000,11779,61,1989,1961,10,2144,10,2184,N/A
g43,1000,9990,4996,6188,6201,10,6406,10,6436,N/A
g44,1000,9990,4997,6157,6131,10,6379,10,6431,N/A
g45,1000,9990,4995,6179,6202,10,6406,10,6435,N/A
g46,1000,9990,4997,6150,6188,10,6392,10,6418,N/A
g47,1000,9990,4997,6220,6202,10,6418,10,6449,N/A
g48,3000,6000,3000,6000,5794,10,5712,10,5922,N/A
g49,3000,6000,3000,6000,5730,10,5628,10,5690,N/A
g50,3000,6000,3000,5880,5590,10,5606,10,5662,N/A
g51,1000,5909,2952,3626,3648,10,3720,10,3735,N/A
g52,1000,5916,2959,3650,3636,10,3728,10,3751,N/A
g53,1000,5914,2957,3632,3651,10,3720,10,3731,N/A
g54,1000,5916,2956,3633,3639,10,3717,10,3727,N/A
